Word	Lowest_AoA	Highest_AoA	All_Synonyms_Had_AoAs
meat grinder	nan	nan	False
meatball	6.0	6.0	True
meatloaf	6.43	6.43	True
medal	5.25	10.26	False
meerkat	nan	nan	False
megaphone	10.2	10.2	True
melon	4.21	4.21	True
memory stick	nan	nan	False
metal detector	nan	nan	False
metronome	11.06	11.06	True
microphone	6.25	6.78	True
microscope	9.16	9.16	True
microwave	7.67	7.67	False
milk	3.37	3.37	True
milkshake	4.89	5.26	True
minivan	7.5	7.5	True
mint	5.94	5.94	True
mirror	4.89	4.89	True
missile	7.22	7.22	True
mistletoe	9.65	9.65	False
mitten	4.72	4.72	True
mixer	7.05	7.05	True
moccasin	11.22	11.22	False
modem	13.75	13.75	True
mold	7.24	11.33	True
mold	9.26	11.33	True
mole	7.33	7.33	True
money	5.11	5.11	True
mongoose	9.94	9.94	True
monkey	4.21	4.21	True
moose	5.22	7.05	False
mop	5.11	8.94	False
mosquito	6.1	6.1	True
mosquito net	nan	nan	False
moss	8.31	8.31	True
moth	5.74	5.74	True
motherboard	14.17	14.17	False
motorcycle	4.79	5.05	True
mouse	4.94	4.94	True
mouse	4.94	4.94	False
mousepad	nan	nan	False
mousetrap	6.78	6.78	True
mousse	10.32	10.32	True
mouth	3.58	3.58	True
mouthpiece	10.6	10.6	False
mud	4.05	5.32	True
muff	10.35	10.35	True
muffin	5.11	7.68	True
mug	5.15	5.15	True
mulberry	8.88	8.88	True
mulch	9.22	9.22	True
mullet	11.67	11.67	True
mushroom	6.44	6.44	True
music box	nan	nan	False
mussel	10.0	10.0	True
mustache	5.4	5.4	False
mustard	4.95	4.95	False
nacho	6.86	6.86	True
nail	5.42	5.42	True
nail clippers	nan	nan	False
nail file	8.45	8.45	True
nail polish	nan	nan	False
napkin	4.79	4.79	False
napkin ring	nan	nan	False
navel	3.78	15.1	False
neck	3.0	14.67	True
necklace	5.0	5.0	True
needle	5.32	5.32	True
nest	5.11	5.11	True
net	7.0	10.94	False
nightshirt	6.1	6.1	True
nightstand	6.67	6.67	True
noisemaker	8.21	8.21	True
noodle	3.44	3.44	True
noose	8.28	8.28	False
nose	2.95	2.95	False
notebook	6.37	6.37	True
notepad	8.53	8.53	True
nut	5.21	5.21	True
nutcracker	7.24	7.24	True
oar	5.83	5.83	True
oatmeal	4.5	4.5	False
octopus	6.26	13.21	True
odometer	nan	nan	False
oil	7.33	7.33	False
oilcan	7.59	7.59	True
okra	12.61	12.61	True
olive	6.68	6.68	True
omelet	6.5	6.5	False
onion	6.05	6.05	True
orange	3.26	3.26	True
orange rind	nan	nan	False
orangutan	7.83	7.83	False
orchid	9.76	9.76	False
organ	8.72	8.72	False
origami	9.24	9.24	True
ostrich	6.42	6.42	False
otter	5.47	5.47	True
ottoman	6.44	12.86	False
outfit	6.72	10.95	True
outlet	8.32	8.32	False
oven	5.67	5.67	True
overalls	8.28	8.28	True
owl	6.21	13.12	False
oyster	8.0	8.0	True
pacifier	4.56	8.61	False
paddle	6.58	6.58	False
padlock	8.84	8.84	True
paint	4.45	11.06	True
paintbrush	6.22	6.22	True
painting	4.05	5.26	True
pajamas	4.27	4.27	False
palette	10.5	12.0	True
pallet	12.0	12.0	True
palm tree	6.0	7.44	True
pan	4.72	4.72	False
pancake	4.26	8.5	False
panda	5.67	5.67	False
panther	6.67	6.67	True
panties	6.26	13.67	False
pants	5.94	7.22	True
pantsuit	9.42	9.42	False
pantyhose	6.06	6.06	True
papaya	10.84	10.84	True
paper	4.0	4.0	True
paper bag	4.95	5.83	False
paper plate	nan	nan	False
paper towel	nan	nan	False
paperclip	6.42	6.42	False
paperweight	6.72	6.72	True
parachute	7.0	7.68	True
parfait	10.76	10.76	True
parking meter	nan	nan	False
parrot	5.58	5.58	True
parsley	8.95	8.95	True
pasta	5.78	5.78	False
pastry	7.21	7.21	True
patch	7.28	7.28	True
patty	3.26	3.26	False
payphone	7.11	7.11	True
pea	3.95	3.95	True
peach	4.21	4.21	True
peacock	5.76	5.76	True
peanut	5.0	5.0	True
peanut butter	nan	nan	False
pear	4.0	4.0	True
pearl	6.28	6.28	True
pecan	6.8	6.8	True
pedal	6.5	6.5	False
pedometer	14.06	14.06	True
peeler	8.0	8.0	True
peg	6.83	6.83	False
pelican	8.22	8.22	True
pen	5.11	5.11	True
pencil	4.06	4.06	True
pencil sharpener	5.31	5.31	True
pendulum	11.75	11.75	True
penguin	5.68	5.68	True
penholder	9.95	9.95	True
penlight	11.0	11.0	True
pennant	11.47	11.47	True
pepper mill	nan	nan	False
pepper	5.47	11.42	True
pepper	5.47	5.47	True
peppermint	5.7	5.7	False
pepperoni	6.21	6.21	True
perfume	7.06	11.9	True
periscope	10.16	10.16	True
pesto	13.8	13.8	True
pet food	nan	nan	False
petal	6.33	6.33	False
petri dish	nan	nan	False
pheasant	9.68	9.68	True
phone	4.11	4.63	False
phone booth	nan	nan	False
photo booth	nan	nan	False
photograph	4.05	10.44	False
piano	5.5	12.38	False
pickax	5.26	9.79	False
pickle	6.05	6.05	True
pie	3.67	3.67	True
piecrust	nan	nan	False
pig	3.84	9.79	False
pigeon	6.21	6.21	True
piggy bank	5.51	5.51	False
piglet	4.67	12.67	False
pill	6.06	9.33	True
pillbox	9.3	9.3	True
pillow	3.47	3.47	True
pin	4.53	4.53	True
pinball	6.95	6.95	False
pincushion	8.56	8.56	True
pine needle	5.32	5.32	False
pine tree	5.53	5.53	False
pineapple	6.25	6.25	False
pinecone	4.61	4.61	True
ping-pong table	nan	nan	False
pinwheel	7.63	7.63	False
pipe	8.17	8.17	False
pipe	8.17	9.95	False
pistachio	8.74	8.74	False
pita	12.0	12.0	False
pitcher	6.42	6.42	False
pitchfork	6.89	6.89	True
pizza	4.67	4.67	False
place mat	nan	nan	False
plant	3.95	11.94	False
plaster cast	7.24	7.24	False
plastic film	6.95	6.95	False
plate	3.84	3.84	True
platypus	7.71	7.71	False
playing card	nan	nan	False
playpen	4.41	5.11	True
pliers	7.0	7.0	False
plug	6.05	6.05	False
plum	5.5	5.5	True
plunger	9.63	9.63	False
pocket	4.74	4.74	True
pocket watch	nan	nan	False
pocketknife	5.94	5.94	True
pogo stick	nan	nan	False
poinsettia	8.89	8.89	False
poker	6.89	9.1	False
polar bear	nan	nan	False
polaroid	nan	nan	False
pole	5.63	5.63	True
police car	10.26	10.26	False
polisher	10.89	12.37	True
polo shirt	nan	nan	False
polygraph	13.33	13.33	True
pom-pom	8.5	8.94	True
pomegranate	11.17	11.17	True
pony	5.39	5.39	True
poodle	6.53	6.53	False
pool table	7.65	7.65	False
popcorn	4.17	4.17	True
poppy	10.37	10.37	True
popsicle	3.78	8.0	False
porcupine	6.89	8.63	True
porthole	10.12	10.12	True
possum	6.61	8.76	True
poster	8.12	8.12	True
pot	5.95	5.95	True
potato	4.84	9.05	False
potholder	nan	nan	False
pothole	8.42	8.42	False
potpie	8.11	8.11	True
potpourri	10.15	10.15	True
powder	5.06	5.06	False
power line	nan	nan	False
praying mantis	nan	nan	False
pretzel	5.0	5.0	True
printer	7.61	7.61	False
prism	9.78	9.78	False
projector	7.16	7.16	True
propeller	7.0	7.0	False
prune	7.85	7.85	True
puck	7.79	7.79	False
pudding	4.79	4.79	True
puddle	5.15	5.37	True
puffin	9.23	9.23	True
pug	9.17	9.17	False
pulley	4.79	9.9	False
pulpit	7.58	18.0	False
pump	6.06	6.06	True
pumpkin	4.78	4.78	True
punch	5.75	5.75	True
punch	5.75	7.56	True
punching bag	7.92	7.92	False
puppet	5.0	5.0	True
puppy	3.28	3.28	True
purse	5.53	5.53	True
quad	12.58	12.58	False
quesadilla	11.2	11.2	True
quiche	13.13	13.13	True
quill	9.04	9.04	False
quilt	6.44	8.61	True
rabbit	3.94	12.3	False
raccoon	6.14	6.79	True
racehorse	6.67	9.67	True
rack	6.26	6.26	True
rack	4.39	6.26	True
racket	8.2	8.2	False
radar	9.53	9.53	False
radiator	8.53	8.53	True
radio	5.17	14.05	False
radish	5.25	5.25	True
raft	7.35	7.35	True
rag	5.0	9.28	False
railing	6.56	7.89	True
rain gauge	nan	nan	False
raincoat	5.5	8.68	True
raisin	5.05	5.05	True
rake	5.32	5.32	True
ram	8.32	8.32	False
ramp	7.28	10.9	True
raspberry	5.33	5.33	True
rat	5.11	5.11	True
ratchet	10.21	10.21	False
rattle	4.5	4.5	True
rattlesnake	6.78	7.06	True
ravioli	6.58	6.58	False
razor	7.11	7.11	True
razor blade	7.59	7.59	True
ready meal	nan	nan	False
rearview mirror	nan	nan	False
recliner	6.11	9.82	False
record	6.3	10.0	False
record player	6.37	9.18	True
recorder	8.37	8.37	False
red carpet	nan	nan	False
reel	9.12	9.12	True
refrigerator	4.11	7.11	True
reindeer	3.58	12.06	False
remote control	7.05	7.05	False
retainer	11.5	11.5	True
revolver	9.26	9.26	False
revolving door	9.26	9.26	False
rhinoceros	5.89	6.0	True
rhubarb	10.53	10.53	False
ribbon	5.25	5.25	True
rice	3.72	3.72	True
rickshaw	11.94	11.94	False
rifle	7.85	7.85	True
rim	8.05	8.05	True
ring	4.53	6.16	True
riser	10.56	10.56	True
road sign	nan	nan	False
roadsweeper	9.83	9.83	True
robe	6.38	6.38	True
robot	5.35	14.85	True
rock	3.22	4.44	True
rocket	5.63	5.63	False
rocking chair	5.78	7.06	True
rocking horse	7.44	8.35	False
roll	4.47	5.79	True
roller	6.65	6.65	True
roller coaster	6.07	6.07	False
rollerblade	10.8	10.8	True
rollerskate	6.32	6.32	True
rolling pin	7.6	7.6	True
roof rack	nan	nan	False
rooster	6.41	11.32	True
root	5.94	5.94	True
rope	5.44	5.44	True
rosary	8.21	8.21	False
rose	4.89	6.11	True
roulette wheel	4.4	4.4	False
router	12.68	12.68	True
rubber band	8.85	8.85	False
ruby	6.83	6.83	True
rudder	10.39	10.39	True
rug	4.61	6.37	True
ruler	4.72	5.94	True
rust	7.75	7.75	True
saddle	6.42	6.42	True
safety pin	6.53	6.53	True
saffron	14.89	14.89	True
sail	5.33	11.33	True
sailboat	4.65	4.65	False
salad	5.61	5.61	True
salami	7.18	7.18	True
saltshaker	5.42	5.42	True
sand	4.63	4.63	True
sandal	5.21	5.21	True
sandbag	7.83	7.83	True
sandbox	4.14	4.14	False
sandcastle	5.42	5.42	True
sandpaper	6.33	6.33	False
sandwich	4.79	4.79	True
sarcophagus	11.93	11.93	True
sardine	7.74	15.0	True
satellite	9.44	11.68	False
satellite dish	4.89	8.44	False
sauce	5.37	5.37	True
saucer	8.44	8.44	True
sauerkraut	9.26	9.26	True
sausage	6.05	6.05	True
saw	5.36	5.36	True
sawhorse	4.15	12.56	True
saxophone	8.75	9.1	True
scaffold	12.11	12.11	True
scaffolding	11.22	11.22	False
scale	8.85	8.85	False
scallion	nan	nan	False
scallop	11.26	11.26	False
scalpel	10.73	10.73	True
scanner	11.37	11.37	False
scarecrow	5.56	5.56	False
scarf	5.68	5.68	True
school bus	nan	nan	False
scissors	4.5	4.5	False
scone	10.26	10.26	True
scoop	5.14	5.14	True
scooter	6.68	6.68	True
scoreboard	7.37	7.37	True
scorpion	7.84	7.84	True
scrabble	9.32	9.32	True
scrambled egg	nan	nan	False
scraper	8.18	8.18	True
screen	5.84	5.84	False
screen	5.84	5.84	True
screw	6.65	6.65	True
screwdriver	6.0	6.0	True
scuba	7.6	14.79	True
sea urchin	nan	nan	False
seafood	6.86	6.86	True
seagull	5.42	8.65	True
seahorse	5.83	5.83	True
seal	5.42	5.42	True
seaplane	11.47	12.8	True
seatbelt	6.47	6.47	True
seaweed	6.74	6.74	True
seed	4.72	4.72	True
seesaw	4.81	7.25	False
seismograph	10.65	10.65	True
sequin	8.76	14.0	True
sewage	8.47	10.85	True
sewing kit	nan	nan	False
sewing machine	5.71	5.71	True
shaker	8.33	8.33	True
shark	5.47	5.47	True
shaving cream	nan	nan	False
shawl	9.74	9.74	True
shears	9.46	9.46	True
sheath	10.93	10.93	True
sheep	4.25	4.25	True
sheet	5.33	5.33	False
shelf	5.5	5.5	True
shell	5.22	5.22	True
shell	5.22	5.22	True
shell	5.22	5.22	True
shield	6.5	6.5	False
ship	5.33	5.33	True
shirt	3.53	3.53	True
shoe	2.6	2.6	True
shoe polish	nan	nan	False
shoehorn	7.89	7.89	True
shoelace	4.16	6.21	True
shopping basket	nan	nan	False
shopping cart	nan	nan	False
shortbread	8.78	8.78	False
shorts	3.95	3.95	False
shoulder	4.5	4.5	True
shovel	6.28	6.28	True
shower	4.72	4.72	True
shower cap	nan	nan	False
shower curtain	nan	nan	False
showerhead	8.05	8.05	True
shredder	8.78	8.78	True
shrimp	7.11	13.06	True
shuffleboard	10.63	10.63	False
shutter	7.83	7.83	True
sickle	11.35	11.35	False
sidecar	9.78	9.78	True
sifter	11.0	11.0	True
silicone	13.55	13.55	False
silverware	5.89	5.89	True
sim card	nan	nan	False
sink	4.47	4.47	True
siren	7.06	7.06	True
skateboard	6.94	6.94	True
skeleton	6.68	7.67	False
skewer	8.94	8.94	True
ski	6.68	6.68	True
ski boots	nan	nan	False
ski lift	4.74	4.74	False
ski pole	nan	nan	False
skin	4.48	4.48	False
skirt	5.67	5.67	True
skull	6.33	6.33	True
skunk	5.32	10.57	False
sled	4.89	10.06	True
sledgehammer	9.52	10.33	True
sleeping bag	nan	nan	False
slicer	8.79	8.79	True
slide	4.79	4.79	False
slime	5.53	11.75	True
sling	8.67	8.67	False
slingshot	6.53	10.56	True
slipper	5.26	5.26	False
slot	6.85	6.85	True
slot machine	11.81	11.81	False
sloth	8.37	8.37	False
slug	6.0	6.0	True
smoke alarm	nan	nan	False
smoothie	8.73	8.73	True
snack	2.78	13.69	True
snail	5.79	5.79	True
snake	5.1	8.0	False
snorkel	9.11	9.11	True
snow	4.11	5.63	True
snowball	4.74	4.74	True
snowboard	11.14	11.14	True
snowman	3.47	3.47	True
snowmobile	8.78	8.78	True
snowplow	8.21	8.21	False
snowshoe	7.68	7.68	True
snowsuit	6.39	6.39	True
soap	3.17	3.17	True
soccer ball	nan	nan	False
sock	2.94	2.94	True
soda	4.42	12.63	False
soda fountain	nan	nan	False
sofa bed	8.53	8.53	False
solar panel	nan	nan	False
soldering iron	nan	nan	False
sombrero	9.06	9.06	True
sonogram	11.47	16.19	True
sorbet	12.0	12.0	False
souffle	11.8	11.8	True
soup	5.37	5.37	True
soy sauce	13.56	13.56	False
space shuttle	nan	nan	False
spacesuit	6.75	6.75	True
spaghetti	4.33	4.33	True
spam	13.58	13.58	True
spareribs	9.94	9.94	True
spark plug	6.05	9.58	False
sparkler	6.26	6.26	True
spatula	7.32	7.32	True
speaker	6.11	10.0	False
spear	7.22	11.79	True
speedboat	6.5	6.5	True
speedometer	9.35	9.35	False
spider	3.43	3.43	True
spider web	4.9	4.9	False
spinach	4.94	4.94	True
splinter	4.72	7.11	True
sponge	5.0	5.0	True
spool	8.0	9.88	True
spoon	2.5	2.5	True
spout	8.0	8.0	True
spring roll	nan	nan	False
springboard	11.25	11.25	True
sprinkler	5.53	5.53	True
sprouts	nan	nan	False
spur	9.35	10.85	True
squash	6.94	6.94	True
squeegee	9.94	9.94	True
squid	7.32	7.32	True
squirrel	4.44	4.44	True
squirt gun	nan	nan	False
stained glass	nan	nan	False
stair	3.84	4.11	True
stake	8.47	8.47	True
stalagmite	11.6	11.6	True
stamp	6.33	8.33	False
stamp	6.33	6.33	True
staple	7.18	7.18	True
staple gun	nan	nan	False
stapler	5.83	5.83	False
star fruit	nan	nan	False
starfish	5.76	5.76	False
station wagon	5.22	5.22	False
statue	7.55	7.55	True
steak	6.63	6.63	True
steamroller	7.67	7.67	False
steering wheel	4.4	5.41	True
stem	7.26	8.22	True
step stool	7.95	7.95	True
stereo	5.95	5.95	False
stethoscope	8.5	8.5	True
stew	6.95	6.95	True
stick	3.89	3.89	True
sticker	4.42	4.42	False
stiletto	12.24	12.24	False
stilt	10.25	10.25	True
stingray	nan	nan	False
stir fry	nan	nan	False
stirrup	9.68	9.68	False
stockings	6.68	6.68	True
stomach	4.05	8.61	False
stool	6.21	6.21	True
stopwatch	8.33	8.33	True
stove	4.32	7.11	False
stove	4.32	4.32	True
straightjacket	10.26	11.11	True
strainer	9.63	9.63	True
strap	5.61	5.61	True
straw	4.22	4.22	True
straw	4.22	4.22	False
strawberry	4.21	4.21	True
streetlight	6.06	6.63	True
stretcher	9.39	9.39	True
string cheese	nan	nan	False
stroller	5.52	14.75	False
stuffing	5.68	5.68	False
stump	7.58	7.58	False
submarine	6.55	9.5	False
subway	5.5	12.39	False
sugar cube	nan	nan	False
suit	6.67	6.67	False
suitcase	4.28	8.22	False
sundae	5.11	5.11	False
sundial	8.68	8.68	True
sunflower	6.0	6.0	False
sunglasses	5.56	5.56	False
sunroof	11.15	11.15	False
surfboard	nan	nan	False
sushi	11.19	11.19	True
suspenders	7.39	7.89	False
swab	8.94	8.94	True
swan	6.32	6.32	True
sweater	5.22	7.0	True
sweatsuit	nan	nan	False
sweeper	8.22	8.22	False
sweet potato	nan	nan	False
swimming pool	4.2	15.43	False
swimsuit	5.16	5.61	False
swing	4.16	4.16	True
swing set	4.16	4.16	False
switch	4.78	4.78	False
swizzle stick	nan	nan	False
sword	5.45	7.72	True
swordfish	9.33	9.33	False
syringe	10.63	10.63	True
syrup	5.42	5.42	False
t-shirt	8.96	8.96	False
tab	9.33	9.33	True
table	4.39	4.39	True
tablecloth	6.26	6.26	True
tablet	6.83	6.83	False
tack	6.63	6.63	True
tackle	8.95	9.3	False
taco	7.72	7.72	True
tadpole	6.37	11.07	True
taffy	7.44	7.44	True
tag	5.0	5.32	True
taillight	9.33	9.33	False
tamale	10.56	10.56	True
tambourine	6.53	6.53	True
tank	7.17	7.17	False
tank	7.17	7.17	False
tape	4.42	4.42	True
tape measure	4.42	11.44	True
tape recorder	8.5	8.5	False
tapestry	10.95	10.95	False
tarantula	7.76	7.76	True
target	3.73	7.58	True
tarp	8.58	10.22	True
tattoo	7.79	7.79	True
taxi	6.94	11.16	True
tea	5.47	5.47	True
teabag	6.67	6.67	True
teacup	5.39	5.39	True
teapot	6.22	6.22	True
teddy bear	nan	nan	False
tee	8.21	8.21	False
teepee	5.65	5.89	False
telegraph	9.5	11.94	True
telephone pole	nan	nan	False
telescope	6.95	9.83	True
television	3.47	8.06	False
tennis ball	nan	nan	False
tent	5.16	5.16	False
terrarium	12.38	12.38	True
test tube	nan	nan	False
thermometer	6.63	6.63	True
thermos	8.29	8.29	False
thermostat	8.89	8.89	False
thimble	8.05	8.05	True
thorn	4.42	7.35	False
thread	6.61	7.06	True
throne	7.28	7.28	True
thumb	4.42	4.42	False
thumbtack	7.17	7.17	False
tiara	6.77	6.77	True
tick	6.05	6.05	True
ticktacktoe	nan	nan	False
tie	4.74	6.63	True
tiger	4.0	4.0	False
tile	6.8	6.8	False
timer	6.28	6.28	True
tinsel	6.61	6.61	True
tiramisu	nan	nan	False
toad	6.11	6.11	True
toast	4.67	4.67	True
toaster	6.72	6.72	True
toaster oven	nan	nan	False
toe	3.0	3.0	True
toga	11.12	11.12	True
toilet	2.28	10.56	False
toilet paper	5.09	5.09	False
tomato	4.61	4.61	True
tomato sauce	nan	nan	False
tongs	7.78	7.78	False
tongue	4.47	14.92	False
tool	5.37	5.37	True
toolbox	6.67	6.67	False
tooth	3.61	3.61	True
toothbrush	4.33	4.33	True
toothpaste	3.33	3.33	True
toothpick	6.83	6.83	True
top hat	5.21	9.53	False
torch	7.84	7.84	True
torpedo	8.35	8.35	True
torso	4.28	9.33	True
tortellini	12.32	12.32	True
tortilla	8.28	8.28	True
tostada	12.81	12.81	True
totem pole	8.67	8.67	True
toucan	8.69	8.69	True
touchpad	nan	nan	False
towel	3.22	3.22	True
towel rack	nan	nan	False
toy	3.0	8.17	True
tractor	5.5	5.5	True
traffic light	5.89	5.89	False
trailer	6.37	6.37	False
train	4.0	4.0	False
train car	7.78	7.78	False
train set	nan	nan	False
trampoline	6.79	6.79	True
trap	6.44	6.44	True
trapdoor	9.16	9.16	True
trashcan	4.5	10.67	False
tray	6.05	6.05	True
treadmill	11.15	11.15	True
treasure	6.06	6.06	True
tree	3.57	3.57	True
tree trunk	8.3	8.3	False
triangle	4.9	4.9	True
tricycle	4.05	14.75	False
trident	11.59	11.59	True
trigger	8.33	8.33	False
tripod	9.26	9.26	True
trolley	8.47	10.53	False
trombone	7.83	7.83	True
trophy	5.11	5.55	True
trough	7.0	8.41	True
trowel	12.18	12.18	True
truck	3.79	3.79	False
trumpet	4.84	11.23	False
trunk	8.3	8.3	True
tuba	7.0	15.07	False
tube top	nan	nan	False
tugboat	5.17	6.33	False
tulip	7.15	7.15	True
tumbleweed	7.95	7.95	True
tuning fork	nan	nan	False
tupperware	nan	nan	False
turban	10.24	10.24	True
turbine	11.06	11.06	True
turf	10.82	11.29	False
turkey	3.95	3.95	False
turnstile	13.67	13.67	True
turntable	10.39	10.39	True
turtle	4.17	4.17	True
turtleneck	4.17	6.79	False
tuxedo	8.26	9.78	False
tweezers	9.89	9.89	False
twig	6.28	10.31	False
typewriter	6.74	6.74	True
ukulele	10.76	10.76	False
umbrella	5.68	5.68	True
undershirt	5.56	5.83	False
underwear	3.94	7.67	True
unicycle	7.26	7.26	False
uniform	5.6	5.6	True
urinal	8.47	8.47	True
urn	9.89	9.89	True
vacuum	5.68	6.74	True
valve	10.78	10.78	True
van	5.2	5.2	True
vase	7.89	7.89	True
vegetable	4.17	6.63	False
veil	9.69	9.69	False
velcro	11.48	11.48	True
vending machine	6.98	6.98	True
vent	9.32	10.11	False
vest	5.83	11.88	True
vial	10.06	15.4	False
videocassette	7.11	7.11	True
videogame	nan	nan	False
viewfinder	6.06	9.83	True
violin	7.45	8.28	True
vise	nan	nan	False
visor	6.42	7.83	False
volleyball	7.05	7.05	True
vulture	8.89	8.89	True
wafer	6.89	6.89	True
waffle	5.32	5.32	True
waffle iron	nan	nan	False
wagon	5.22	5.22	False
walker	nan	nan	False
walker	nan	nan	False
wall	3.79	3.79	True
wallet	5.89	9.38	False
wallpaper	6.55	6.55	True
walnut	6.16	6.16	True
walrus	5.06	5.83	True
wand	6.39	6.39	True
warthog	7.82	7.82	True
washboard	8.65	8.65	True
washcloth	4.17	9.44	False
washing machine	4.8	6.32	False
wasp	5.58	5.58	True
watch	4.33	9.94	True
water bottle	nan	nan	False
water cooler	nan	nan	False
water filter	nan	nan	False
water fountain	nan	nan	False
water heater	nan	nan	False
watering can	7.22	7.22	False
watermelon	4.22	4.22	True
waterwheel	9.89	9.89	True
wax	6.0	6.0	True
wax paper	nan	nan	False
weasel	7.25	7.25	True
weather vane	10.58	10.58	False
webcam	15.57	15.57	True
wedding cake	nan	nan	False
wedge	9.42	9.42	True
weed	6.79	6.79	True
wetsuit	8.79	8.79	True
whale	5.47	5.47	True
wheat	6.53	6.53	False
wheel	4.4	4.4	True
wheelbarrow	6.78	6.78	False
wheelchair	6.89	6.89	True
whip	7.0	7.0	True
whipped cream	nan	nan	False
whisk	8.72	8.72	True
whistle	5.42	5.42	True
whiteboard	nan	nan	False
whoopee cushion	nan	nan	False
wick	7.83	10.7	True
wig	5.63	5.63	True
wind chimes	nan	nan	False
window	4.74	4.74	True
windowsill	5.17	5.17	True
windshield	7.85	10.88	True
windshield wiper	8.37	8.37	False
windsock	2.94	14.12	False
wine	7.9	7.9	False
wine bottle	nan	nan	False
wine cooler	nan	nan	False
wineglass	8.78	8.78	True
wing	4.79	4.79	True
wire	4.89	4.89	True
wire cutters	nan	nan	False
wok	12.27	12.27	True
wolf	4.5	4.5	True
woman	4.95	4.95	False
wood	4.58	4.58	True
wooden leg	3.0	6.83	False
workbench	4.21	6.78	True
worm	3.89	3.89	True
wrap	7.0	7.0	True
wrapping paper	nan	nan	False
wreath	7.06	15.09	False
wreck	7.59	7.59	True
wrench	7.84	12.5	True
wrist	5.94	5.94	False
xylophone	7.11	14.0	True
yacht	10.06	10.06	False
yak	7.78	7.78	False
yarn	6.61	6.61	True
yo-yo	5.62	5.62	True
yogurt	3.72	3.72	False
yoke	7.94	7.94	True
yolk	5.89	5.89	False
zebra	4.79	4.79	True
zipper	5.0	5.3	False
zucchini	6.79	6.79	False
